epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.381425,0.59816,0.671866,57.6,0.0526,0.4884,2836.1,88.9,98,True
2,1.048596,0.691832,0.705415,18.38,0.0059,0.0046,2764.9,88.9,98,True
3,0.971635,0.714864,0.728958,18.06,0.0052,0.0016,2769.9,88.9,98,True
4,0.914037,0.729801,0.715421,17.09,0.0051,0.003,2780.1,88.9,99,False
5,0.877897,0.745622,0.72425,17.0,0.0049,0.0011,2781.0,88.9,99,False
6,0.84235,0.749963,0.739553,16.94,0.0046,0.0005,2781.1,88.9,99,True
7,0.824422,0.756291,0.723661,16.72,0.005,0.0018,2781.3,88.9,99,False
8,0.786766,0.764827,0.754562,17.02,0.0047,0.001,2781.3,88.9,99,True
9,0.763548,0.771965,0.735138,17.01,0.0047,0.0005,2781.2,88.9,99,False
10,0.742427,0.780206,0.747793,17.08,0.0048,0.001,2781.2,88.9,99,False
11,0.719739,0.783297,0.750736,16.8,0.0048,0.0013,2781.3,88.9,99,False
12,0.68298,0.793304,0.733373,16.88,0.0049,0.001,2781.3,88.9,99,False
13,0.671623,0.796689,0.748381,16.67,0.0048,0.001,2781.4,88.9,99,False
14,0.651937,0.801251,0.749853,17.07,0.0046,0.0006,2781.4,88.9,99,False
15,0.617022,0.811479,0.744556,16.89,0.0049,0.0014,2781.5,88.9,99,False
16,0.593787,0.821928,0.765745,16.92,0.0049,0.001,2782.0,88.9,99,True
17,0.575431,0.823105,0.755739,16.85,0.005,0.0016,2782.0,88.9,99,False
18,0.538108,0.835541,0.74485,16.94,0.0048,0.0005,2782.0,88.9,99,False
19,0.509023,0.846137,0.740436,16.87,0.0048,0.0011,2782.0,88.9,99,False
20,0.466858,0.857174,0.763979,16.64,0.0052,0.0025,2782.0,88.9,99,False
21,0.442206,0.863135,0.740436,17.04,0.0048,0.0012,2782.0,88.9,99,False
22,0.417574,0.872038,0.754267,17.05,0.0048,0.0007,2782.1,88.9,99,False
23,0.370903,0.887049,0.756033,17.85,0.005,0.0011,2782.1,88.9,99,False
24,0.348493,0.892347,0.749559,16.97,0.0051,0.0022,2782.1,88.9,99,False
25,0.303791,0.907285,0.747204,16.98,0.0049,0.0012,2782.1,88.9,99,False
26,0.254978,0.922443,0.731018,17.03,0.005,0.0014,2782.2,88.9,99,False
27,0.252958,0.919279,0.753384,16.8,0.005,0.0015,2759.4,88.9,99,False
28,0.214307,0.933848,0.748676,16.7,0.0052,0.002,2759.5,88.9,99,False
29,0.179762,0.94518,0.746321,16.78,0.0049,0.0008,2759.5,88.9,99,False
30,0.165744,0.950552,0.748381,16.93,0.005,0.0012,2759.5,88.9,99,False
31,0.175968,0.945107,0.748676,16.83,0.0051,0.0016,2759.6,88.9,99,False
32,0.124893,0.961074,0.741613,16.71,0.005,0.0016,2759.7,88.9,99,False
33,0.101434,0.970346,0.749853,16.96,0.0049,0.0007,2759.8,88.9,99,False
34,0.084579,0.976085,0.740141,16.76,0.0048,0.0007,2759.8,88.9,99,False
35,0.108016,0.966225,0.72837,16.93,0.005,0.0014,2759.8,88.9,99,False
36,0.10973,0.966519,0.749559,16.78,0.005,0.0014,2759.8,88.9,99,False
37,0.077569,0.977483,0.745438,17.02,0.005,0.0014,2759.9,88.9,99,False
38,0.091826,0.971965,0.753973,16.93,0.0051,0.002,2760.0,88.9,99,False
39,0.079373,0.976012,0.741024,16.72,0.0049,0.0008,2760.1,88.9,99,False
40,0.077869,0.975938,0.748676,16.67,0.0051,0.0014,2760.1,88.9,99,False
41,0.064501,0.980059,0.745733,16.69,0.0051,0.0017,2760.2,88.9,99,False
42,0.052035,0.985651,0.73661,16.9,0.0049,0.0007,2760.2,88.9,99,False
43,0.123915,0.959823,0.737198,17.08,0.0051,0.0017,2760.2,88.9,99,False
44,0.055253,0.983591,0.744556,17.06,0.0051,0.0018,2760.2,88.9,99,False
45,0.074353,0.977631,0.747793,16.79,0.005,0.0011,2730.5,88.9,99,False
46,0.089436,0.971891,0.741024,16.91,0.0051,0.0012,2730.5,88.9,99,False
47,0.08072,0.975202,0.751619,16.86,0.0049,0.0008,2730.5,88.9,99,False
48,0.039976,0.987638,0.749559,16.93,0.005,0.0008,2730.5,88.9,99,False
49,0.035414,0.989698,0.756622,16.78,0.0052,0.002,2730.5,88.9,99,False
50,0.030494,0.9922,0.75721,16.89,0.0051,0.0013,2730.5,88.9,99,False
