Run started: 2026-05-06T16:28:52.125271
Config: {"run_label": "baseline_overfit", "epochs": 50, "batch_size": 128, "lr": 0.001, "rnn_hidden": 128, "val_split": 0.2, "n_classes": 16, "weight_decay": 0.0, "workers": 16, "data_dir": "data", "dataset_size": 16988}
--------------------------------------------------------------------------------
Epoch   1 | Loss: 1.3814 | Train: 0.5982 | Val: 0.6719 | Time: 57.6s | Batch: 0.053s | RAM: 2836 MB | GPU: 89 MB 98% *
Epoch   2 | Loss: 1.0486 | Train: 0.6918 | Val: 0.7054 | Time: 18.4s | Batch: 0.006s | RAM: 2765 MB | GPU: 89 MB 98% *
Epoch   3 | Loss: 0.9716 | Train: 0.7149 | Val: 0.7290 | Time: 18.1s | Batch: 0.005s | RAM: 2770 MB | GPU: 89 MB 98% *
Epoch   4 | Loss: 0.9140 | Train: 0.7298 | Val: 0.7154 | Time: 17.1s | Batch: 0.005s | RAM: 2780 MB | GPU: 89 MB 99%
Epoch   5 | Loss: 0.8779 | Train: 0.7456 | Val: 0.7242 | Time: 17.0s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99%
Epoch   6 | Loss: 0.8423 | Train: 0.7500 | Val: 0.7396 | Time: 16.9s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99% *
Epoch   7 | Loss: 0.8244 | Train: 0.7563 | Val: 0.7237 | Time: 16.7s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99%
Epoch   8 | Loss: 0.7868 | Train: 0.7648 | Val: 0.7546 | Time: 17.0s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99% *
Epoch   9 | Loss: 0.7635 | Train: 0.7720 | Val: 0.7351 | Time: 17.0s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99%
Epoch  10 | Loss: 0.7424 | Train: 0.7802 | Val: 0.7478 | Time: 17.1s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99%
Epoch  11 | Loss: 0.7197 | Train: 0.7833 | Val: 0.7507 | Time: 16.8s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99%
Epoch  12 | Loss: 0.6830 | Train: 0.7933 | Val: 0.7334 | Time: 16.9s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99%
Epoch  13 | Loss: 0.6716 | Train: 0.7967 | Val: 0.7484 | Time: 16.7s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99%
Epoch  14 | Loss: 0.6519 | Train: 0.8013 | Val: 0.7499 | Time: 17.1s | Batch: 0.005s | RAM: 2781 MB | GPU: 89 MB 99%
Epoch  15 | Loss: 0.6170 | Train: 0.8115 | Val: 0.7446 | Time: 16.9s | Batch: 0.005s | RAM: 2782 MB | GPU: 89 MB 99%
Epoch  16 | Loss: 0.5938 | Train: 0.8219 | Val: 0.7657 | Time: 16.9s | Batch: 0.005s | RAM: 2782 MB | GPU: 89 MB 99% *
Epoch  17 | Loss: 0.5754 | Train: 0.8231 | Val: 0.7557 | Time: 16.8s | Batch: 0.005s | RAM: 2782 MB | GPU: 89 MB 99%
Epoch  18 | Loss: 0.5381 | Train: 0.8355 | Val: 0.7448 | Time: 16.9s | Batch: 0.005s | RAM: 2782 MB | GPU: 89 MB 99%
Epoch  19 | Loss: 0.5090 | Train: 0.8461 | Val: 0.7404 | Time: 16.9s | Batch: 0.005s | RAM: 2782 MB | GPU: 89 MB 99%
