true\pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,1,0,1,3,2,3,0,0,1,0,0,5,0,0
1,0,100,0,0,3,2,2,0,0,0,3,0,0,7,0,1
2,1,0,17,0,1,0,1,0,0,0,2,0,0,11,1,1
3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,3,13,0,0,839,35,4,46,9,0,6,0,10,69,5,2
5,0,12,0,0,51,83,8,8,12,0,5,4,2,56,0,7
6,0,1,7,0,3,1,65,1,2,0,2,0,3,16,0,1
7,0,0,0,0,40,3,0,213,0,0,0,0,2,10,4,0
8,1,4,0,0,19,6,3,0,22,0,1,0,0,14,0,0
9,1,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0
10,0,4,3,0,7,5,2,1,1,0,39,0,1,10,1,0
11,0,0,0,0,0,0,0,0,0,0,0,105,0,3,0,0
12,0,0,1,0,8,2,8,0,1,0,0,0,1,19,0,0
13,2,2,7,0,42,19,13,8,3,0,5,1,6,1098,2,3
14,0,1,1,0,7,0,0,3,1,0,1,0,0,8,10,0
15,0,0,1,0,0,3,2,0,0,0,0,0,0,3,0,13
