epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.297184,0.621339,0.670394,35.69,0.016,0.1228,2483.6,145.5,96,True
2,1.001397,0.708609,0.728075,17.91,0.0076,0.0008,2515.0,145.5,95,True
3,0.914295,0.732524,0.723367,17.94,0.0074,0.0005,2515.3,145.5,96,False
4,0.863522,0.744518,0.745144,17.94,0.0075,0.0006,2515.4,145.5,94,True
5,0.818509,0.75894,0.731901,17.98,0.0075,0.0005,2515.4,145.5,93,False
6,0.786042,0.762987,0.751619,17.99,0.0075,0.0005,2515.4,145.5,94,True
7,0.751069,0.777042,0.750147,17.92,0.0076,0.0007,2515.4,145.5,94,False
8,0.706723,0.789919,0.756327,17.94,0.0075,0.0005,2515.4,145.5,95,True
9,0.669184,0.800736,0.759564,18.04,0.0076,0.0005,2515.4,145.5,88,True
10,0.628526,0.809419,0.754267,17.98,0.0077,0.0006,2515.4,145.5,95,False
11,0.598307,0.818102,0.753679,17.98,0.0077,0.0007,2515.5,145.5,95,False
12,0.544641,0.832818,0.76339,18.0,0.0077,0.0006,2515.5,145.5,94,True
13,0.492266,0.84989,0.76133,17.99,0.0077,0.0008,2515.5,145.5,95,False
14,0.433869,0.869169,0.744261,17.91,0.0077,0.0007,2515.5,145.5,95,False
15,0.37195,0.887344,0.753679,18.0,0.0077,0.0006,2515.5,145.5,95,False
16,0.324938,0.901472,0.771042,17.94,0.0077,0.0008,2515.6,145.5,96,True
17,0.272779,0.916409,0.76133,17.97,0.0077,0.0006,2515.6,145.5,96,False
18,0.226039,0.928992,0.75515,18.02,0.0077,0.0005,2515.6,145.5,96,False
19,0.186763,0.943488,0.750736,17.95,0.0077,0.0007,2515.6,145.5,96,False
20,0.13146,0.960486,0.759564,18.02,0.0078,0.0007,2515.7,145.5,96,False
21,0.138912,0.957763,0.748676,18.03,0.0077,0.0005,2515.7,145.5,96,False
22,0.115545,0.964533,0.765745,18.01,0.0077,0.0005,2515.7,145.5,95,False
23,0.071304,0.979029,0.754562,17.96,0.0078,0.0007,2515.7,145.5,96,False
24,0.094173,0.970787,0.761036,18.0,0.0077,0.0007,2515.7,145.5,95,False
25,0.059314,0.982634,0.756327,17.91,0.0078,0.0007,2515.7,145.5,96,False
26,0.047842,0.986461,0.73867,18.02,0.0078,0.0007,2515.7,145.5,96,False
27,0.075299,0.977704,0.749559,17.94,0.0077,0.0005,2515.7,145.5,96,False
28,0.038997,0.989257,0.746027,18.0,0.0077,0.0005,2515.6,145.5,96,False
29,0.065937,0.979102,0.746616,17.91,0.0077,0.0006,2515.6,145.5,95,False
30,0.058494,0.982708,0.765745,18.0,0.0078,0.0009,2515.6,145.5,95,False
31,0.071203,0.977189,0.756916,17.94,0.0078,0.0006,2515.6,145.5,95,False
32,0.043434,0.987491,0.756622,17.97,0.0078,0.0005,2515.6,145.5,94,False
33,0.023309,0.994996,0.751619,17.94,0.0078,0.0008,2515.6,145.5,94,False
34,0.035814,0.989698,0.765745,17.96,0.0077,0.0006,2515.6,145.5,95,False
35,0.033101,0.991832,0.756033,17.96,0.0078,0.0007,2515.6,145.5,96,False
36,0.063263,0.980648,0.742201,18.04,0.0078,0.0006,2515.6,145.5,95,False
37,0.036077,0.98933,0.754562,17.96,0.0078,0.0007,2515.7,145.5,96,False
38,0.042301,0.987932,0.755444,17.94,0.0078,0.0006,2515.7,145.5,96,False
39,0.054797,0.98234,0.763096,17.94,0.0078,0.0008,2515.7,145.5,96,False
40,0.035037,0.989845,0.754562,18.0,0.0078,0.0008,2515.7,145.5,95,False
41,0.01457,0.996909,0.773396,17.99,0.0079,0.0009,2515.7,145.5,96,True
42,0.023131,0.993966,0.740141,17.96,0.0078,0.0006,2515.7,145.5,95,False
43,0.034777,0.989993,0.728664,18.06,0.0078,0.0005,2515.7,145.5,96,False
44,0.078191,0.976748,0.763979,18.01,0.0078,0.0006,1934.8,145.5,95,False
45,0.033901,0.989551,0.760153,18.06,0.0078,0.0005,1934.8,145.5,96,False
46,0.023601,0.994113,0.77575,17.94,0.0078,0.0006,1934.8,145.5,96,True
47,0.014234,0.996394,0.768393,17.96,0.0078,0.0007,1934.8,145.5,96,False
48,0.03131,0.990066,0.761036,18.08,0.0078,0.0005,1934.8,145.5,96,False
49,0.048503,0.983738,0.756622,18.07,0.0078,0.0006,1934.8,145.5,95,False
50,0.02465,0.992789,0.766627,17.9,0.0078,0.0007,1934.8,145.5,96,False
