true\pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,0,0,1,2,1,0,0,0,1,0,0,11,0,0
1,0,95,0,0,3,7,0,0,4,0,3,0,0,5,0,1
2,0,0,19,0,0,0,3,0,0,0,1,0,1,11,0,0
3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,0,6,1,0,845,43,1,16,22,0,9,0,4,86,7,1
5,0,6,0,0,58,85,2,2,12,0,9,1,4,66,0,3
6,0,2,1,0,5,2,58,0,3,0,0,0,2,28,0,1
7,0,0,0,0,69,1,0,181,0,0,1,0,0,19,1,0
8,0,3,0,0,22,8,1,0,22,0,4,0,0,10,0,0
9,0,0,0,0,1,0,1,0,0,0,1,0,2,2,0,0
10,0,2,0,0,7,4,0,0,4,0,44,0,0,12,1,0
11,0,0,0,0,0,0,0,0,0,0,0,107,0,1,0,0
12,0,0,1,0,8,2,3,0,2,0,0,0,2,22,0,0
13,1,2,8,0,57,29,12,4,4,0,13,0,1,1079,0,1
14,0,0,0,0,8,1,0,0,0,0,2,0,0,6,15,0
15,0,0,0,0,0,2,3,0,0,0,0,0,0,5,0,12
