epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,2.367784,0.272995,0.422307,34.71,0.016,0.1286,2483.8,145.5,94,True
2,2.035661,0.396247,0.314891,18.07,0.0075,0.0007,2514.8,145.5,94,False
3,1.952173,0.442678,0.56651,18.02,0.0074,0.0005,2514.9,145.5,95,True
4,1.796268,0.498749,0.57269,17.93,0.0075,0.0007,2515.2,145.5,94,True
5,1.727153,0.528477,0.556798,17.96,0.0075,0.0006,2515.2,145.5,95,False
6,1.612992,0.543561,0.492643,18.0,0.0075,0.0005,2515.2,145.5,94,False
7,1.484455,0.555408,0.641554,17.91,0.0076,0.0006,2515.3,145.5,95,True
8,1.413469,0.578072,0.564744,17.99,0.0075,0.0006,2515.3,145.5,94,False
9,1.312199,0.58521,0.666274,17.99,0.0075,0.0005,2515.3,145.5,95,True
10,1.209975,0.581457,0.615362,18.11,0.0075,0.0007,2515.3,145.5,94,False
11,1.112243,0.603164,0.594467,19.98,0.0083,0.001,2515.3,145.5,94,False
12,1.054777,0.611405,0.599176,17.88,0.0079,0.001,2515.2,145.5,94,False
13,0.958925,0.617439,0.635374,17.96,0.0078,0.0012,2515.2,145.5,95,False
14,0.846423,0.634584,0.643025,18.15,0.0079,0.0009,2515.2,145.5,94,False
15,0.77473,0.651141,0.653031,18.02,0.0077,0.0007,2515.2,145.5,95,False
16,0.677448,0.670567,0.649794,18.04,0.0077,0.0005,2515.4,145.5,95,False
17,0.599854,0.689772,0.65568,17.98,0.0076,0.0006,2515.4,145.5,95,False
18,0.542925,0.693304,0.653031,17.94,0.0077,0.0005,2515.4,145.5,95,False
19,0.496327,0.717366,0.667157,17.99,0.0077,0.0007,2515.4,145.5,95,True
20,0.431941,0.734437,0.686875,18.05,0.0078,0.0007,2515.4,145.5,94,True
21,0.360718,0.764533,0.675397,17.99,0.0077,0.0006,2515.4,145.5,94,False
22,0.326393,0.770052,0.669806,18.02,0.0077,0.0005,2515.4,145.5,95,False
23,0.288832,0.787417,0.702178,18.0,0.0077,0.0006,2515.4,145.5,91,True
24,0.274494,0.792936,0.735138,18.07,0.0077,0.0006,2515.2,145.5,96,True
25,0.334809,0.766593,0.633902,18.0,0.0077,0.0006,2515.5,145.5,95,False
26,0.258413,0.804562,0.692172,17.99,0.0077,0.0008,2515.5,145.5,96,False
27,0.189619,0.835467,0.744556,17.98,0.0077,0.0006,2515.5,145.5,96,True
28,0.170058,0.850184,0.739553,18.08,0.0077,0.0005,2515.5,145.5,96,False
29,0.136227,0.871523,0.740141,18.12,0.0077,0.0007,2142.5,145.5,95,False
30,0.168951,0.863429,0.68658,18.01,0.0077,0.0006,2142.5,145.5,95,False
31,0.416685,0.745916,0.698058,18.11,0.0077,0.0006,2142.5,145.5,94,False
32,0.176948,0.847682,0.741024,18.05,0.0077,0.0005,2142.6,145.5,95,False
33,0.117263,0.889036,0.738376,18.0,0.0077,0.0005,2142.6,145.5,94,False
34,0.096182,0.903385,0.753384,17.96,0.0077,0.0005,2142.6,145.5,94,True
35,0.08419,0.9117,0.74897,18.05,0.0077,0.0005,2142.6,145.5,96,False
36,0.118566,0.891096,0.742201,18.0,0.0077,0.0005,2142.6,145.5,95,False
37,0.196098,0.852759,0.715715,18.09,0.0077,0.0005,2142.4,145.5,96,False
38,0.159124,0.861074,0.716892,18.04,0.0078,0.0007,2142.4,145.5,95,False
39,0.078853,0.918396,0.740436,17.98,0.0077,0.0005,2142.4,145.5,95,False
40,0.084619,0.921486,0.726898,17.98,0.0078,0.0008,2142.4,145.5,95,False
41,0.098471,0.911553,0.741024,17.96,0.0077,0.0006,2142.4,145.5,96,False
42,0.137548,0.892936,0.600942,18.09,0.0077,0.0005,2142.4,145.5,96,False
43,0.159499,0.871376,0.741024,17.98,0.0077,0.0006,2142.4,145.5,95,False
44,0.129913,0.894113,0.741318,18.05,0.0077,0.0006,2142.4,145.5,96,False
45,0.099386,0.910302,0.742201,18.03,0.0077,0.0006,2142.4,145.5,96,False
46,0.051984,0.943929,0.755444,18.04,0.0078,0.0007,1215.0,145.5,95,True
47,0.032604,0.962252,0.761624,18.06,0.0078,0.0005,1215.0,145.5,95,True
48,0.024892,0.972553,0.756622,18.0,0.0077,0.0006,1215.0,145.5,95,False
49,0.024232,0.974319,0.764567,18.01,0.0077,0.0005,1215.0,145.5,92,True
50,0.039376,0.958057,0.754562,18.02,0.0078,0.0007,1215.1,145.5,94,False
