Run started: 2026-05-07T17:26:54.857219
Config: {"run_label": "optimized_weighted", "epochs": 50, "batch_size": 64, "lr": 0.0003, "rnn_hidden": 512, "val_split": 0.2, "n_classes": 16, "weight_decay": 0.0001, "workers": 8, "data_dir": "data", "dataset_size": 16988}
--------------------------------------------------------------------------------
Epoch   1 | Loss: 2.3678 | Train: 0.2730 | Val: 0.4223 | Time: 34.7s | Batch: 0.016s | RAM: 2484 MB | GPU: 145 MB 94% *
Epoch   2 | Loss: 2.0357 | Train: 0.3962 | Val: 0.3149 | Time: 18.1s | Batch: 0.007s | RAM: 2515 MB | GPU: 145 MB 94%
Epoch   3 | Loss: 1.9522 | Train: 0.4427 | Val: 0.5665 | Time: 18.0s | Batch: 0.007s | RAM: 2515 MB | GPU: 145 MB 95% *
Epoch   4 | Loss: 1.7963 | Train: 0.4987 | Val: 0.5727 | Time: 17.9s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 94% *
Epoch   5 | Loss: 1.7272 | Train: 0.5285 | Val: 0.5568 | Time: 18.0s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 95%
Epoch   6 | Loss: 1.6130 | Train: 0.5436 | Val: 0.4926 | Time: 18.0s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 94%
Epoch   7 | Loss: 1.4845 | Train: 0.5554 | Val: 0.6416 | Time: 17.9s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 95% *
Epoch   8 | Loss: 1.4135 | Train: 0.5781 | Val: 0.5647 | Time: 18.0s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 94%
Epoch   9 | Loss: 1.3122 | Train: 0.5852 | Val: 0.6663 | Time: 18.0s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 95% *
Epoch  10 | Loss: 1.2100 | Train: 0.5815 | Val: 0.6154 | Time: 18.1s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 94%
Epoch  11 | Loss: 1.1122 | Train: 0.6032 | Val: 0.5945 | Time: 20.0s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 94%
Epoch  12 | Loss: 1.0548 | Train: 0.6114 | Val: 0.5992 | Time: 17.9s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 94%
Epoch  13 | Loss: 0.9589 | Train: 0.6174 | Val: 0.6354 | Time: 18.0s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 95%
Epoch  14 | Loss: 0.8464 | Train: 0.6346 | Val: 0.6430 | Time: 18.1s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 94%
Epoch  15 | Loss: 0.7747 | Train: 0.6511 | Val: 0.6530 | Time: 18.0s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 95%
Epoch  16 | Loss: 0.6774 | Train: 0.6706 | Val: 0.6498 | Time: 18.0s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 95%
Epoch  17 | Loss: 0.5999 | Train: 0.6898 | Val: 0.6557 | Time: 18.0s | Batch: 0.008s | RAM: 2515 MB | GPU: 145 MB 95%
