phase,label,lr,batch_size,rnn_hidden,epochs_per_run,weight_decay,best_val_acc,best_epoch,total_time_sec,peak_memory_mb,macro_f1,weighted_f1,balanced_accuracy
1,lr_1e-04,0.0001,32,128,25,0.0001,0.770159,19,406.53,1739.3,0.428696,0.740603,0.40404
1,lr_3e-04,0.0003,32,128,25,0.0001,0.771336,15,405.52,1850.5,0.455652,0.747943,0.459913
1,lr_1e-03,0.001,32,128,25,0.0001,0.766333,17,404.37,1853.9,0.426864,0.740762,0.40835
1,lr_3e-03,0.003,32,128,25,0.0001,0.762213,25,401.22,1343.9,0.386348,0.734691,0.383496
1,lr_1e-02,0.01,32,128,25,0.0001,0.716009,25,399.42,1344.0,0.299498,0.659158,0.303423
2,bs_32,0.0003,32,128,25,0.0001,0.765745,10,401.17,1344.0,0.480018,0.753138,0.464437
2,bs_64,0.0003,64,128,25,0.0001,0.773985,11,394.77,1858.2,0.437422,0.741339,0.426434
2,bs_128,0.0003,128,128,25,0.0001,0.772219,14,397.69,2918.0,0.44318,0.743745,0.429517
3,rnn_64,0.0003,64,64,25,0.0001,0.768099,17,390.56,2919.0,0.420355,0.738909,0.395592
3,rnn_128,0.0003,64,128,25,0.0001,0.77369,17,394.64,2922.4,0.455151,0.745447,0.456612
3,rnn_256,0.0003,64,256,25,0.0001,0.771925,14,4923.68,15184.2,0.46211,0.755477,0.45826
3,rnn_512,0.0003,64,512,25,0.0001,0.776045,16,454.62,469.0,0.479397,0.727192,0.446635
