epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.385999,0.605077,0.664214,23.16,0.0039,0.0201,1738.3,49.3,91,True
2,1.047821,0.695217,0.714244,15.88,0.003,0.0003,1738.9,49.3,94,True
3,0.947545,0.726858,0.722484,15.93,0.003,0.0002,1738.9,49.3,93,True
4,0.894105,0.738337,0.737787,15.95,0.003,0.0003,1738.9,49.3,95,True
5,0.853735,0.750037,0.745733,15.94,0.003,0.0003,1738.9,49.3,95,True
6,0.823213,0.759897,0.741613,15.94,0.0031,0.0003,1738.9,49.3,94,False
7,0.791298,0.765416,0.74897,15.97,0.0031,0.0003,1739.0,49.3,94,True
8,0.761931,0.776748,0.75721,15.94,0.0031,0.0003,1739.0,49.3,95,True
9,0.739131,0.780206,0.755444,15.96,0.0031,0.0003,1739.0,49.3,95,False
10,0.703727,0.790066,0.75103,15.97,0.0031,0.0003,1739.0,49.3,94,False
11,0.679152,0.797572,0.759859,16.24,0.0031,0.0003,1739.0,49.3,95,True
12,0.653903,0.805445,0.768099,15.99,0.0031,0.0002,1739.0,49.3,94,True
13,0.629624,0.814422,0.75927,15.97,0.0031,0.0003,1739.1,49.3,96,False
14,0.594653,0.826122,0.761919,15.98,0.0031,0.0003,1739.1,49.3,95,False
15,0.564467,0.831862,0.768687,15.99,0.0031,0.0003,1739.1,49.3,95,True
16,0.524754,0.84621,0.768099,15.98,0.0031,0.0003,1739.1,49.3,96,False
17,0.487996,0.856586,0.767216,15.99,0.0032,0.0003,1739.1,49.3,96,False
18,0.462784,0.862252,0.762507,15.99,0.0032,0.0003,1739.1,49.3,95,False
19,0.416511,0.878293,0.770159,15.98,0.0032,0.0003,1739.2,49.3,94,True
20,0.386669,0.884695,0.766039,15.99,0.0032,0.0003,1739.2,49.3,94,False
21,0.369489,0.891023,0.758387,16.01,0.0031,0.0003,1739.2,49.3,94,False
22,0.314822,0.9117,0.766922,15.94,0.0031,0.0002,1739.2,49.3,95,False
23,0.291025,0.915085,0.756916,15.94,0.0032,0.0003,1739.3,49.3,95,False
24,0.269064,0.92259,0.755444,15.95,0.0031,0.0003,1739.3,49.3,95,False
25,0.235987,0.93223,0.758093,15.94,0.0031,0.0003,1739.3,49.3,95,False
