epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.347051,0.615894,0.694526,22.65,0.0036,0.0021,1858.1,49.3,89,True
2,0.993987,0.708462,0.703355,15.47,0.0035,0.0003,1858.2,49.3,97,True
3,0.913599,0.732745,0.719247,15.5,0.0036,0.0003,1848.2,49.3,96,True
4,0.85817,0.74805,0.746616,15.47,0.0036,0.0003,1848.2,49.3,96,True
5,0.818539,0.757837,0.753384,15.45,0.0036,0.0004,1848.2,49.3,97,True
6,0.784339,0.76858,0.740436,15.49,0.0038,0.0005,1848.2,49.3,96,False
7,0.750211,0.778366,0.75721,15.49,0.0038,0.0005,1848.2,49.3,96,True
8,0.715683,0.787123,0.762507,15.53,0.0038,0.0003,1848.2,49.3,96,True
9,0.675647,0.799191,0.770747,15.51,0.0038,0.0003,1848.2,49.3,97,True
10,0.644153,0.806696,0.762213,15.52,0.0039,0.0003,1848.2,49.3,97,False
11,0.617293,0.816703,0.773985,15.47,0.0039,0.0006,1848.2,49.3,97,True
12,0.579791,0.829065,0.769276,15.53,0.0039,0.0003,1848.2,49.3,97,False
13,0.539757,0.837896,0.766039,15.48,0.0039,0.0006,1848.2,49.3,96,False
14,0.503232,0.849448,0.766922,15.48,0.0039,0.0004,1848.2,49.3,96,False
15,0.458146,0.866961,0.766039,15.52,0.0039,0.0004,1848.2,49.3,97,False
16,0.420609,0.873804,0.76957,15.51,0.0039,0.0004,1848.2,49.3,96,False
17,0.383831,0.886681,0.766627,15.52,0.0039,0.0003,1848.2,49.3,97,False
18,0.332521,0.902428,0.766627,15.5,0.0039,0.0004,1848.2,49.3,97,False
19,0.289976,0.917954,0.75721,15.51,0.0039,0.0003,1848.2,49.3,96,False
20,0.252023,0.925901,0.766039,15.53,0.0039,0.0003,1848.2,49.3,96,False
21,0.226373,0.933848,0.75721,15.51,0.0039,0.0003,1848.2,49.3,97,False
22,0.19571,0.942826,0.766333,15.52,0.0039,0.0004,1848.2,49.3,96,False
23,0.150286,0.957101,0.738081,15.52,0.0039,0.0003,1848.2,49.3,96,False
24,0.15092,0.955335,0.749264,15.54,0.0039,0.0005,1848.2,49.3,96,False
25,0.122999,0.964312,0.740436,15.5,0.004,0.0005,1848.2,49.3,96,False
