epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.406986,0.595585,0.666569,21.98,0.0035,0.0003,2918.8,35.1,94,True
2,1.037153,0.699117,0.711595,15.33,0.0035,0.0003,2918.9,35.1,97,True
3,0.935131,0.726269,0.706004,15.34,0.0035,0.0003,2918.9,35.1,96,False
4,0.869333,0.74415,0.733078,15.29,0.0035,0.0004,2918.9,35.1,96,True
5,0.84138,0.752318,0.73043,15.33,0.0036,0.0003,2918.9,35.1,97,False
6,0.803906,0.760265,0.747499,15.3,0.0037,0.0005,2918.9,35.1,96,True
7,0.766982,0.773068,0.742496,15.33,0.0037,0.0003,2918.9,35.1,97,False
8,0.733268,0.783885,0.752501,15.36,0.0037,0.0003,2918.9,35.1,97,True
9,0.704943,0.790434,0.756916,15.34,0.0038,0.0003,2918.9,35.1,97,True
10,0.67091,0.799706,0.758682,15.37,0.0038,0.0003,2918.9,35.1,97,True
11,0.638307,0.808462,0.738964,15.35,0.0038,0.0003,2918.9,35.1,98,False
12,0.599049,0.822369,0.749264,15.35,0.0038,0.0003,2918.9,35.1,96,False
13,0.566175,0.832082,0.765156,15.4,0.0039,0.0004,2918.9,35.1,96,True
14,0.542163,0.833481,0.755444,15.37,0.0039,0.0004,2918.9,35.1,97,False
15,0.501851,0.848197,0.764862,15.4,0.0039,0.0003,2918.9,35.1,98,False
16,0.451008,0.864606,0.763979,15.37,0.0039,0.0004,2918.9,35.1,97,False
17,0.416357,0.874467,0.768099,15.35,0.0039,0.0005,2918.9,35.1,97,True
18,0.377416,0.885872,0.750147,15.36,0.0039,0.0003,2918.9,35.1,97,False
19,0.33395,0.899117,0.75927,15.38,0.0039,0.0003,2918.9,35.1,97,False
20,0.290696,0.913171,0.744261,15.36,0.0039,0.0003,2919.0,35.1,96,False
21,0.276694,0.916556,0.74897,15.34,0.0039,0.0004,2919.0,35.1,97,False
22,0.26177,0.919426,0.733667,15.41,0.0039,0.0004,2919.0,35.1,97,False
23,0.214652,0.934658,0.756327,15.37,0.0039,0.0004,2919.0,35.1,97,False
24,0.194579,0.941133,0.763096,15.41,0.0039,0.0003,2919.0,35.1,96,False
25,0.16482,0.950331,0.753679,15.35,0.0039,0.0005,2919.0,35.1,97,False
